outcome,segment,feature,coef,se,p,r2,n
num_funded_teams,first,ann_knowledge_sharing_score,0.006144425960431103,0.006616282913418551,0.3530536679963334,0.040874858106882184,810
num_funded_teams,first,ann_evaluation_practices_score,-0.018295780561419835,0.01847834150635494,0.3221153347506299,0.040874858106882184,810
num_funded_teams,first,ann_idea_management_score,0.01942475335123249,0.014582560538060977,0.18284255145180472,0.040874858106882184,810
num_funded_teams,first,ann_coordination_and_decision_practices_score,-0.002724062512211514,0.004205607609371852,0.5171650891702273,0.040874858106882184,810
num_funded_teams,first,ann_information_seeking_score,-0.003534591834466261,0.006678370747150525,0.5966253766053584,0.040874858106882184,810
num_funded_teams,first,ann_relational_climate_score,-0.013537725155024891,0.007422336823690574,0.0681646447669714,0.040874858106882184,810
num_funded_teams,first,ann_participation_dynamics_score,0.004922936485320148,0.008685165789907386,0.5708356351132129,0.040874858106882184,810
num_funded_teams,first,ann_integration_practices_score,0.026554182049066705,0.021626543694370934,0.21950275470096614,0.040874858106882184,810
num_funded_teams,middle,ann_knowledge_sharing_score,0.00862371384403543,0.006115129115255099,0.1584729719239768,0.059786653416129876,713
num_funded_teams,middle,ann_evaluation_practices_score,0.016673653541786702,0.01487948842528543,0.2624667851214678,0.059786653416129876,713
num_funded_teams,middle,ann_idea_management_score,0.005201186011008994,0.010817917257490614,0.6306631580466766,0.059786653416129876,713
num_funded_teams,middle,ann_coordination_and_decision_practices_score,-0.042260313481322614,0.01583230392186424,0.007602175441752299,0.059786653416129876,713
num_funded_teams,middle,ann_information_seeking_score,0.002811197725021176,0.008576933695875694,0.7430911994598177,0.059786653416129876,713
num_funded_teams,middle,ann_relational_climate_score,-0.01923251651872981,0.015154230380313985,0.20439874676688463,0.059786653416129876,713
num_funded_teams,middle,ann_participation_dynamics_score,-0.005606503480288584,0.01403727518380816,0.6895976662027212,0.059786653416129876,713
num_funded_teams,middle,ann_integration_practices_score,0.020098317857802122,0.026944184588244983,0.45571323865338087,0.059786653416129876,713
num_funded_teams,last,ann_knowledge_sharing_score,0.013448310351779798,0.005005272526363903,0.007213391508872523,0.05999334742196871,866
num_funded_teams,last,ann_evaluation_practices_score,-0.015216648674907135,0.011777846741249027,0.19636682775249958,0.05999334742196871,866
num_funded_teams,last,ann_idea_management_score,-0.0028800557132543287,0.0056325663818305735,0.6091255271946565,0.05999334742196871,866
num_funded_teams,last,ann_coordination_and_decision_practices_score,-0.003973626431057151,0.00509735283694247,0.4356575257742049,0.05999334742196871,866
num_funded_teams,last,ann_information_seeking_score,0.010803477903972389,0.006244227488395912,0.0836026861226025,0.05999334742196871,866
num_funded_teams,last,ann_relational_climate_score,-0.004064294376034734,0.005744024938894894,0.4792129069240001,0.05999334742196871,866
num_funded_teams,last,ann_participation_dynamics_score,-0.016907738736445476,0.008038537881652328,0.03543648881335476,0.05999334742196871,866
num_funded_teams,last,ann_integration_practices_score,-0.0031647030888742912,0.011188297925502832,0.7772854506233289,0.05999334742196871,866
