group,feature,R2_middle_from_first,R2_last_from_first,n
all,ann_knowledge_sharing_score,0.5771982776381229,0.635792093252679,25542
all,ann_evaluation_practices_score,0.35013205327209385,0.3577171394390173,25542
all,ann_idea_management_score,0.527615243380621,0.5382053800452743,25542
all,ann_coordination_and_decision_practices_score,0.4431176327899726,0.6090830419327282,25542
all,ann_information_seeking_score,0.4934558073757547,0.5423529920685339,25542
all,ann_relational_climate_score,0.43422885377263487,0.5564427924646264,25542
all,ann_participation_dynamics_score,0.5960423261729415,0.57480300621945,25542
all,ann_integration_practices_score,0.2572557381481324,0.2053623960249369,25542
facilitator,ann_knowledge_sharing_score,0.5924712447682492,0.6870391864008745,83
facilitator,ann_evaluation_practices_score,0.5336645936081168,0.6287019118245113,83
facilitator,ann_idea_management_score,0.6418440652879651,0.7043657109222278,83
facilitator,ann_coordination_and_decision_practices_score,0.40692512558992744,0.6777439891449595,83
facilitator,ann_information_seeking_score,0.5499535153578607,0.6083585776069768,83
facilitator,ann_relational_climate_score,0.5375720461422593,0.6207950414908066,83
facilitator,ann_participation_dynamics_score,0.4872869873616772,0.5284473691216831,83
facilitator,ann_integration_practices_score,0.5372073300089396,0.48018114647137533,83
non_facilitator,ann_knowledge_sharing_score,0.5702531933532484,0.6297724774249533,25459
non_facilitator,ann_evaluation_practices_score,0.3080450999757517,0.3005704919969491,25459
non_facilitator,ann_idea_management_score,0.4808639723398741,0.47958329928859655,25459
non_facilitator,ann_coordination_and_decision_practices_score,0.24032527534087278,0.5708558962474808,25459
non_facilitator,ann_information_seeking_score,0.4046747122108433,0.4511283226864625,25459
non_facilitator,ann_relational_climate_score,0.3727397806137748,0.6110215886427528,25459
non_facilitator,ann_participation_dynamics_score,0.5262881267833694,0.49364448441432995,25459
non_facilitator,ann_integration_practices_score,0.19780104634875117,0.1494144078392201,25459
any_team,ann_knowledge_sharing_score,0.4888939211540071,0.504682073996535,336
any_team,ann_evaluation_practices_score,0.3970590795467732,0.43974016829520446,336
any_team,ann_idea_management_score,0.49615042726032,0.46637387495815685,336
any_team,ann_coordination_and_decision_practices_score,0.13584985064513055,0.34577796769837843,336
any_team,ann_information_seeking_score,0.401232322510756,0.4269192757314334,336
any_team,ann_relational_climate_score,0.3391050910686214,0.5362370046912834,336
any_team,ann_participation_dynamics_score,0.15257829587026062,0.14989768730684638,336
any_team,ann_integration_practices_score,0.32012898539478185,0.24570756164268592,336
no_team,ann_knowledge_sharing_score,0.5136277392553545,0.6234068014241005,1148
no_team,ann_evaluation_practices_score,0.3698781697613278,0.41710212678049885,1148
no_team,ann_idea_management_score,0.5308176662479396,0.5922614857019562,1148
no_team,ann_coordination_and_decision_practices_score,0.45893255923810095,0.6476872249538568,1148
no_team,ann_information_seeking_score,0.5354066170885755,0.6087810574985877,1148
no_team,ann_relational_climate_score,0.49516330941147557,0.5972765235396245,1148
no_team,ann_participation_dynamics_score,0.6073114478392255,0.591549326899168,1148
no_team,ann_integration_practices_score,0.3151272811551812,0.3311133176270966,1148
any_funded,ann_knowledge_sharing_score,0.513524400721774,0.4961006009824287,133
any_funded,ann_evaluation_practices_score,0.4083998067933642,0.4205552171133301,133
any_funded,ann_idea_management_score,0.5286769992974947,0.4661855290897724,133
any_funded,ann_coordination_and_decision_practices_score,0.26234164394034354,0.39347067265399316,133
any_funded,ann_information_seeking_score,0.46261403100222753,0.4483349689578736,133
any_funded,ann_relational_climate_score,0.4349072436893274,0.5275087758516563,133
any_funded,ann_participation_dynamics_score,0.3258306304484113,0.19878690050521375,133
any_funded,ann_integration_practices_score,0.49346935427611593,0.31297798256333087,133
no_funded,ann_knowledge_sharing_score,0.5270643646665203,0.6054865774556966,1351
no_funded,ann_evaluation_practices_score,0.3883838437559346,0.4425791308856021,1351
no_funded,ann_idea_management_score,0.5081431391258308,0.5483195759803479,1351
no_funded,ann_coordination_and_decision_practices_score,0.4372267275207493,0.6279692318928372,1351
no_funded,ann_information_seeking_score,0.49537063300425643,0.5719083189775472,1351
no_funded,ann_relational_climate_score,0.46047568697512375,0.5860477607944701,1351
no_funded,ann_participation_dynamics_score,0.5930287387282487,0.577957823502439,1351
no_funded,ann_integration_practices_score,0.2807637547189975,0.296886302122914,1351
