segment,feature,mean_team,mean_nonteam,diff,cohens_d,p_any_team,n_team,n_nonteam
first,ann_coordination_and_decision_practices_count,1.573394495412844,5.090673575129534,-3.51727907971669,-0.39683132225614237,6.644649854695746e-08,218,386
first,ann_evaluation_practices_count,1.1697247706422018,0.7512953367875648,0.41842943385463705,0.27748749033867964,0.0029483648866106384,218,386
first,ann_idea_management_count,2.5688073394495414,1.8575129533678756,0.7112943860816658,0.29214388379478495,0.0027422064812336238,218,386
first,ann_information_seeking_count,2.018348623853211,2.378238341968912,-0.35988971811570103,-0.11037070573047593,0.6863248524480825,218,386
first,ann_integration_practices_count,0.28440366972477066,0.32124352331606215,-0.036839853591291494,-0.04221151592774936,0.24502660846979218,218,386
first,ann_knowledge_sharing_count,6.7889908256880735,4.94300518134715,1.8459856443409235,0.3294804703729362,1.0055552725946234e-05,218,386
first,ann_none_count,0.6926605504587156,0.6683937823834197,0.02426676807529582,0.014096695054416268,0.2101494271096005,218,386
first,ann_participation_dynamics_count,0.9220183486238532,3.6191709844559585,-2.697152635832105,-0.38191303936071347,1.4533163747885132e-06,218,386
first,ann_relational_climate_count,3.2018348623853212,6.116580310880829,-2.914745448495508,-0.33010420318896866,2.36126510720292e-05,218,386
middle,ann_coordination_and_decision_practices_count,0.39069767441860465,1.1118210862619808,-0.7211234118433762,-0.3826334378656379,4.5535265503547615e-09,215,313
middle,ann_evaluation_practices_count,2.4511627906976745,1.8530351437699681,0.5981276469277064,0.24660003379274437,0.01527619186059384,215,313
middle,ann_idea_management_count,4.130232558139535,3.3226837060702876,0.8075488520692473,0.24275698719865257,0.03173356824718378,215,313
middle,ann_information_seeking_count,2.8511627906976744,2.8498402555910545,0.0013225351066199487,0.0004006619203707276,0.4972416757140077,215,313
middle,ann_integration_practices_count,0.5209302325581395,0.6038338658146964,-0.08290363325655692,-0.08398587987065524,0.024545087505265586,215,313
middle,ann_knowledge_sharing_count,6.688372093023256,5.322683706070287,1.3656883869529688,0.2326543158388123,0.001443773206783011,215,313
middle,ann_none_count,1.172093023255814,0.9488817891373802,0.2232112341184338,0.08106650271920951,0.1133149518415734,215,313
middle,ann_participation_dynamics_count,0.5953488372093023,1.744408945686901,-1.1490601084775987,-0.3753538521000035,1.6270483139266384e-09,215,313
middle,ann_relational_climate_count,2.874418604651163,3.220447284345048,-0.3460286796938852,-0.08118589210928771,0.1131230104735594,215,313
last,ann_coordination_and_decision_practices_count,3.0497737556561084,4.379310344827586,-1.3295365891714779,-0.19500519816883707,3.5834710644758987e-13,221,435
last,ann_evaluation_practices_count,4.131221719457014,2.5839080459770116,1.5473136734800024,0.43110724952317137,0.09658665891762884,221,435
last,ann_idea_management_count,7.131221719457014,4.285057471264368,2.846164248192646,0.5041017707426126,0.001742637230044288,221,435
last,ann_information_seeking_count,5.253393665158371,3.8988505747126436,1.3545430904457274,0.24937634967954214,0.6310869822165427,221,435
last,ann_integration_practices_count,1.4298642533936652,1.27816091954023,0.15170333385343526,0.06968475841884944,0.020837405350000025,221,435
last,ann_knowledge_sharing_count,10.986425339366516,6.813793103448276,4.17263223591824,0.4870611019112962,0.0004703485915347075,221,435
last,ann_none_count,2.48868778280543,1.3057471264367817,1.1829406563686482,0.3684988575344587,0.00010873692823576608,221,435
last,ann_participation_dynamics_count,1.0497737556561086,2.2,-1.1502262443438915,-0.280182437542191,2.6710523153356915e-13,221,435
last,ann_relational_climate_count,6.868778280542986,6.048275862068966,0.8205024184740202,0.10210378552367329,0.028395821787685883,221,435
