outcome,segment,feature,coef,se,p,r2,n
num_funded_teams,first,ann_knowledge_sharing_score,0.006067474689903559,0.004908210869548785,0.21638843943990882,0.025074409550754018,810
num_funded_teams,first,ann_evaluation_practices_score,-0.01989404181215072,0.017838740158693165,0.2647580305479734,0.025074409550754018,810
num_funded_teams,first,ann_idea_management_score,0.02033550479735923,0.013428319027264627,0.1299308662868373,0.025074409550754018,810
num_funded_teams,first,ann_coordination_and_decision_practices_score,-0.003959027401985374,0.003771242596604936,0.2938128891237092,0.025074409550754018,810
num_funded_teams,first,ann_information_seeking_score,-0.0037764942462388913,0.006249640128896341,0.5456615737011552,0.025074409550754018,810
num_funded_teams,first,ann_relational_climate_score,-0.011174859554480384,0.006657454406339634,0.09324008687157252,0.025074409550754018,810
num_funded_teams,first,ann_participation_dynamics_score,0.005052038214873414,0.008302785712785756,0.5428724277993193,0.025074409550754018,810
num_funded_teams,first,ann_integration_practices_score,0.023445533804978526,0.02107124586399371,0.26584629681701666,0.025074409550754018,810
num_funded_teams,middle,ann_knowledge_sharing_score,0.006310373033623258,0.005107558617307311,0.21664561525175274,0.038141095816173975,713
num_funded_teams,middle,ann_evaluation_practices_score,0.017041751880470975,0.014828104978941416,0.25043755689919023,0.038141095816173975,713
num_funded_teams,middle,ann_idea_management_score,0.008149007649521527,0.010051112175500438,0.4175053414736698,0.038141095816173975,713
num_funded_teams,middle,ann_coordination_and_decision_practices_score,-0.0398606000328717,0.01627864852987438,0.014339546547357833,0.038141095816173975,713
num_funded_teams,middle,ann_information_seeking_score,-0.0012153557529374324,0.007972637405940347,0.8788392270465497,0.038141095816173975,713
num_funded_teams,middle,ann_relational_climate_score,-0.020851605312756885,0.014492335353567835,0.15020654703475378,0.038141095816173975,713
num_funded_teams,middle,ann_participation_dynamics_score,-0.0028045384852838848,0.013090506708025956,0.8303582171975379,0.038141095816173975,713
num_funded_teams,middle,ann_integration_practices_score,0.028553392597728922,0.026372192127915618,0.2789378970324863,0.038141095816173975,713
num_funded_teams,last,ann_knowledge_sharing_score,0.011202385887032786,0.004419718786473983,0.011256367523657121,0.04184672181647753,866
num_funded_teams,last,ann_evaluation_practices_score,-0.01180456266023536,0.011009191195064261,0.2836094954928918,0.04184672181647753,866
num_funded_teams,last,ann_idea_management_score,-0.0005732767080341871,0.005358349656399835,0.9147988557965578,0.04184672181647753,866
num_funded_teams,last,ann_coordination_and_decision_practices_score,-0.004952270653678569,0.004613074879145063,0.2830337378620301,0.04184672181647753,866
num_funded_teams,last,ann_information_seeking_score,0.010689150678825806,0.005597775275795986,0.05619304512465593,0.04184672181647753,866
num_funded_teams,last,ann_relational_climate_score,-0.00492536171263999,0.005663902856352985,0.3845159695480177,0.04184672181647753,866
num_funded_teams,last,ann_participation_dynamics_score,-0.01569055418767317,0.006781741560847759,0.02068710814296199,0.04184672181647753,866
num_funded_teams,last,ann_integration_practices_score,-0.0013408634721313135,0.011121765078562907,0.9040378811816233,0.04184672181647753,866
