,Coef.,Std.Err.,z,P>|z|
gesture_count_ratio,5.734873957896099,2.8179970114481474,2.0350887295473,0.04184194581597878
idea_agree_decision_chain_duration,-0.3337178475384474,0.16743114420943356,-1.9931647072841587,0.0462434143267344
conflict_resolution_latency,-0.0007038416815664818,0.00056845383061757,-1.2381685963868447,0.2156535531172984
num_overlaps,0.03806435565625098,0.03180630490628674,1.196755038612715,0.23140204759636107
num_provide_supporting_evidence,-0.0359226167465226,0.03347701300316309,-1.0730532244059061,0.28324723633733384
decision_lag,0.0004057464817528311,0.0003837302615336724,1.0573742089851488,0.2903408373836943
num_explain_define_term,0.02237723135323364,0.024610612612440828,0.9092512935627536,0.3632174941564711
avg_distraction_per_utterance,-22.414651291364557,25.81930667068694,-0.8681352902792024,0.3853202737516015
burstiness_of_ideas,-0.39446680551337177,0.45939844203546765,-0.8586594324647647,0.3905284381690486
num_offer_constructive_criticism,0.10058975481469365,0.1187133269285094,0.8473332979309898,0.39680937180630393
