burst_id,conference,session,center_time_sec,burst_score,num_participants,nearest_speaker,nearest_sentence,nearest_time_sec,sent_time_sec,rel_sec,speaker,sentence,annotations,dialogue_act
16,2021_10_01_MZT_S11,2021_10_01_MZT_S11,1065.6666666666667,0.1428571428571428,2,Joyce Jose,And then uh study those inhibitors in BSL2 or BSL3 pathogens in um using SARS or any other viruses and uh we have been successful in actually testing identifying compounds that are uh able to inhibit viruses.,1065.6666666666667,1047.0,-18.666666666666742,Kristin Koutmou,"Yeah, so in bacteria can as well.","{'expand on existing idea': ""Kristin is expanding on Danae's question about whether RNA modification can change the code, confirming that it can happen in bacteria as well, building on the previous discussion about RNA modifications and their impact on viruses.""}",
16,2021_10_01_MZT_S11,2021_10_01_MZT_S11,1065.6666666666667,0.1428571428571428,2,Joyce Jose,And then uh study those inhibitors in BSL2 or BSL3 pathogens in um using SARS or any other viruses and uh we have been successful in actually testing identifying compounds that are uh able to inhibit viruses.,1065.6666666666667,1047.7757352941176,-17.890931372549176,Wilfred van der Donk,So I'll see you in the main room.,"[{'express enthusiasm': 'The speaker expresses enthusiasm by saying ""This was uh great guys"".'}, {'express humor': 'The speaker expresses humor by jokingly declaring their group the best and dismissing any potential arguments about it.'}]",
16,2021_10_01_MZT_S11,2021_10_01_MZT_S11,1065.6666666666667,0.1428571428571428,2,Joyce Jose,And then uh study those inhibitors in BSL2 or BSL3 pathogens in um using SARS or any other viruses and uh we have been successful in actually testing identifying compounds that are uh able to inhibit viruses.,1065.6666666666667,1047.9490968801313,-17.717569786535478,Wilfred van der Donk,We already talked about that with respect to anything uh with respect to uh epigenetics of the host uh we often don't have the data uh and and and when we do have the data uh you usually generate it yourself.,"[{'encourage participation': 'Wilfred encourages the group to think about what technologies are missing, inviting them to contribute to the discussion.'}, {'present new idea': 'Wilfred introduces the idea of thinking about what technologies are missing and could be enabling for the problems discussed.'}]",
16,2021_10_01_MZT_S11,2021_10_01_MZT_S11,1065.6666666666667,0.1428571428571428,2,Joyce Jose,And then uh study those inhibitors in BSL2 or BSL3 pathogens in um using SARS or any other viruses and uh we have been successful in actually testing identifying compounds that are uh able to inhibit viruses.,1065.6666666666667,1048.9338235294117,-16.73284313725503,Wilfred van der Donk,Uh,"[{'express enthusiasm': 'The speaker expresses enthusiasm by saying ""This was uh great guys"".'}, {'express humor': 'The speaker expresses humor by jokingly declaring their group the best and dismissing any potential arguments about it.'}]",
16,2021_10_01_MZT_S11,2021_10_01_MZT_S11,1065.6666666666667,0.1428571428571428,2,Joyce Jose,And then uh study those inhibitors in BSL2 or BSL3 pathogens in um using SARS or any other viruses and uh we have been successful in actually testing identifying compounds that are uh able to inhibit viruses.,1065.6666666666667,1049.325,-16.341666666666697,Danae Schulz,"Great, sorry.","{'acknowledge contribution': ""Danae acknowledges Kristin's contribution after Kristin answered her clarifying question about RNA modifications."", 'express humor': ""Danae says 'sorry' after asking a clarifying question and potentially misunderstanding, which can be interpreted as a slightly humorous acknowledgement of her own confusion.""}",
16,2021_10_01_MZT_S11,2021_10_01_MZT_S11,1065.6666666666667,0.1428571428571428,2,Joyce Jose,And then uh study those inhibitors in BSL2 or BSL3 pathogens in um using SARS or any other viruses and uh we have been successful in actually testing identifying compounds that are uh able to inhibit viruses.,1065.6666666666667,1049.5,-16.166666666666742,William Witola,Goodbye.,[{'None': 'No code applies to this utterance.'}],
16,2021_10_01_MZT_S11,2021_10_01_MZT_S11,1065.6666666666667,0.1428571428571428,2,Joyce Jose,And then uh study those inhibitors in BSL2 or BSL3 pathogens in um using SARS or any other viruses and uh we have been successful in actually testing identifying compounds that are uh able to inhibit viruses.,1065.6666666666667,1050.325,-15.341666666666697,Danae Schulz,Maybe I'm misunderstanding.,"{'acknowledge contribution': ""Danae acknowledges Kristin's contribution after Kristin answered her clarifying question about RNA modifications."", 'express humor': ""Danae says 'sorry' after asking a clarifying question and potentially misunderstanding, which can be interpreted as a slightly humorous acknowledgement of her own confusion.""}",
16,2021_10_01_MZT_S11,2021_10_01_MZT_S11,1065.6666666666667,0.1428571428571428,2,Joyce Jose,And then uh study those inhibitors in BSL2 or BSL3 pathogens in um using SARS or any other viruses and uh we have been successful in actually testing identifying compounds that are uh able to inhibit viruses.,1065.6666666666667,1050.5,-15.166666666666742,Joyce Jose,Thank you so much.,"[{'express enthusiasm': 'Joyce expresses enthusiasm with the phrase ""Thank you so much"" at the end of the session.'}]",
16,2021_10_01_MZT_S11,2021_10_01_MZT_S11,1065.6666666666667,0.1428571428571428,2,Joyce Jose,And then uh study those inhibitors in BSL2 or BSL3 pathogens in um using SARS or any other viruses and uh we have been successful in actually testing identifying compounds that are uh able to inhibit viruses.,1065.6666666666667,1051.5,-14.166666666666742,Danae Schulz,It seems like you're saying that the host machinery is is the one making the change it like,"{'ask clarifying question': ""Danae is asking Kristin to confirm her understanding that the host machinery is responsible for making the changes, following Kristin's explanation of RNA modifications and their role in host-virus interactions.""}",
16,2021_10_01_MZT_S11,2021_10_01_MZT_S11,1065.6666666666667,0.1428571428571428,2,Joyce Jose,And then uh study those inhibitors in BSL2 or BSL3 pathogens in um using SARS or any other viruses and uh we have been successful in actually testing identifying compounds that are uh able to inhibit viruses.,1065.6666666666667,1051.5,-14.166666666666742,Danae Schulz,Thank you.,"[{'express agreement': ""Danae is expressing agreement or gratitude, likely in response to the session ending or someone's contribution.""}]",
