outcome,feature,coef,se,p,ci_low,ci_high,r2,n,segment
num_teams,ann_coordination_and_decision_practices_count,-0.05115274020333865,0.015592466264709932,0.001035842904214872,-0.0817134125123259,-0.020592067894351394,0.09271354720175784,534,first
num_teams,ann_evaluation_practices_count,0.07554356420036784,0.04462032869937462,0.09044971816789157,-0.011910673028745364,0.16299780142948106,0.07603473812324524,534,first
num_teams,ann_idea_management_count,0.04885607171724532,0.03394458433787312,0.15006861749993253,-0.017674091055168387,0.11538623448965903,0.07411098485965473,534,first
num_teams,ann_information_seeking_count,-0.014972703882423983,0.0229586049027816,0.5142973961264237,-0.05997074262716063,0.03002533486231266,0.0702878882823873,534,first
num_teams,ann_integration_practices_count,-0.07843665863434905,0.08800330017080642,0.3727724100537244,-0.25091995748979723,0.09404664022109911,0.07184843016160247,534,first
num_teams,ann_knowledge_sharing_count,0.05865854658331157,0.030358867992791628,0.053338312855004275,-0.000843741293965819,0.11816083446058896,0.09706448872958773,534,first
num_teams,ann_none_count,0.03566029488223271,0.030211858430190197,0.23786462161601885,-0.023553859546962888,0.09487444931142831,0.0714774848210824,534,first
num_teams,ann_participation_dynamics_count,-0.05268850137092136,0.013550853113940362,0.00010098811497757964,-0.07924768543403692,-0.02612931730780581,0.0934551875988393,534,first
num_teams,ann_relational_climate_count,-0.05395145163959727,0.0158215912516162,0.0006496550705428433,-0.08496120067087902,-0.02294170260831552,0.09190130226365045,534,first
num_funded_teams,ann_coordination_and_decision_practices_count,-0.01912545659721988,0.007536928573607011,0.011162619499106533,-0.03389756515554046,-0.004353348038899297,0.047508876804595146,534,first
num_funded_teams,ann_evaluation_practices_count,-0.00037975128710279055,0.023097514352035314,0.9868823963425909,-0.04565004754948901,0.04489054497528343,0.038373665812797886,534,first
num_funded_teams,ann_idea_management_count,0.03767902649104481,0.021517566856514514,0.07993176640812509,-0.0044946295826563815,0.07985268256474601,0.045856740900520165,534,first
num_funded_teams,ann_information_seeking_count,3.260672725384668e-06,0.011746663826686465,0.9997785209119465,-0.02301977736607954,0.023026298711530307,0.03837321005359029,534,first
num_funded_teams,ann_integration_practices_count,0.0037682196185645817,0.036901969784816545,0.9186659332669835,-0.06855831211826113,0.07609475135539029,0.03838743574912218,534,first
num_funded_teams,ann_knowledge_sharing_count,0.015079541882194165,0.009419214472343134,0.10939151029996748,-0.003381779246256827,0.033540863010645156,0.04350771613649884,534,first
num_funded_teams,ann_none_count,-0.007598159449657352,0.01325636330721579,0.5665290998068864,-0.03358015409777858,0.018383835198463875,0.03860526510828666,534,first
num_funded_teams,ann_participation_dynamics_count,-0.016258303532990327,0.006383043612367679,0.010861970951001786,-0.028768839124979424,-0.003747767941001231,0.044796147833704,534,first
num_funded_teams,ann_relational_climate_count,-0.020642848082419517,0.00764711638182019,0.006945856522451384,-0.03563092077637334,-0.005654775388465696,0.047603155399913,534,first
num_teams,ann_coordination_and_decision_practices_count,-0.18229211687799768,0.030842272167896746,3.411469127565615e-09,-0.2427418595284574,-0.12184237422753796,0.08852675795970077,466,middle
num_teams,ann_evaluation_practices_count,0.07141769299869154,0.037469333514037535,0.05664624689296424,-0.0020208512135416606,0.14485623721092472,0.04277078287467828,466,middle
num_teams,ann_idea_management_count,0.02976454564788231,0.03135117038279551,0.3424213539345837,-0.0316826191755757,0.09121171047134033,0.035932359179961515,466,middle
num_teams,ann_information_seeking_count,-0.032574818246343416,0.024535785480241313,0.1842953392349368,-0.08066407412001719,0.015514437627330353,0.037669671535290106,466,middle
num_teams,ann_integration_practices_count,-0.1180425463018624,0.06352769808913364,0.06315094739921102,-0.24255454657729836,0.006469453973573555,0.0405367353563687,466,middle
num_teams,ann_knowledge_sharing_count,0.06664417986684346,0.02018493022139058,0.0009610765628679531,0.02708244360246382,0.1062059161312231,0.05817899013555616,466,middle
num_teams,ann_none_count,0.04139714660312994,0.04801008072811288,0.3885447523871447,-0.052700882518831836,0.1354951757250917,0.03929461098878051,466,middle
num_teams,ann_participation_dynamics_count,-0.10114235381937757,0.03121358084113116,0.0011939074973373518,-0.16231984809652408,-0.03996485954223105,0.07613702124609745,466,middle
num_teams,ann_relational_climate_count,-0.022417977651750673,0.01993359584696251,0.2607446273581534,-0.06148710759417438,0.016651152290673037,0.03606093096659857,466,middle
num_funded_teams,ann_coordination_and_decision_practices_count,-0.08041340057658668,0.01647164981466461,1.050538704938715e-06,-0.11269724097928517,-0.04812956017388818,0.06337478533979779,466,middle
num_funded_teams,ann_evaluation_practices_count,0.03585950098573841,0.024207434278933623,0.13851533117868342,-0.011586198359091825,0.08330520033056865,0.04126279014022838,466,middle
num_funded_teams,ann_idea_management_count,0.029099735252064836,0.021881522613714923,0.18355877644285223,-0.013787260997715163,0.07198673150184484,0.040562854638945045,466,middle
num_funded_teams,ann_information_seeking_count,-0.010942554544185799,0.014538685651014387,0.45165973449459296,-0.039437854802723264,0.01755274571435167,0.03647556700068044,466,middle
num_funded_teams,ann_integration_practices_count,-0.015783013907778164,0.04359827913432429,0.7173445425846907,-0.1012340707989779,0.06966804298342158,0.035657224689336076,466,middle
num_funded_teams,ann_knowledge_sharing_count,0.03819851803402288,0.012686945791317671,0.0026051566741130587,0.013332561209228232,0.06306447485881753,0.05639630357225811,466,middle
num_funded_teams,ann_none_count,0.009380861801864673,0.01562529152428231,0.5482637051355871,-0.021244146833667623,0.040005870437396965,0.03607809613665691,466,middle
num_funded_teams,ann_participation_dynamics_count,-0.04085538403513036,0.01286700101151849,0.0014972995463010525,-0.06607424260674705,-0.015636525463513674,0.05352078018129036,466,middle
num_funded_teams,ann_relational_climate_count,-0.015853283638585517,0.012704098318826348,0.21207231231782975,-0.040752858799541006,0.009046291522369975,0.038243297582484126,466,middle
num_teams,ann_coordination_and_decision_practices_count,-0.06849212011549587,0.011294846782525065,1.3276477925047446e-09,-0.09062961302014311,-0.04635462721084863,0.14199150554855589,571,last
num_teams,ann_evaluation_practices_count,0.006978543982656527,0.024772407362587418,0.7781686997581171,-0.041574482258369676,0.055531570223682734,0.0948345974066982,571,last
num_teams,ann_idea_management_count,0.026601147257039232,0.022158100776144742,0.229939129544949,-0.01682793223001348,0.07003022674409194,0.0987709132520257,571,last
num_teams,ann_information_seeking_count,-0.0026252826686979924,0.01922932300177448,0.8914062893266871,-0.04031406319926362,0.03506349786186763,0.09471160597868711,571,last
num_teams,ann_integration_practices_count,-0.09326331653293461,0.03418590917458307,0.006369612673318216,-0.16026646729387484,-0.026260165771994387,0.1100120158476704,571,last
num_teams,ann_knowledge_sharing_count,0.04784885958893637,0.014137052147639103,0.0007127115942907086,0.02014074653199911,0.07555697264587363,0.11951794111617997,571,last
num_teams,ann_none_count,0.06737053464254045,0.018862860521613463,0.00035481119024876175,0.03040000737477564,0.10434106191030526,0.11419664171693245,571,last
num_teams,ann_participation_dynamics_count,-0.12075496087973263,0.016433772796364637,2.012312795093979e-13,-0.15296456369072142,-0.08854535806874385,0.17288393711130012,571,last
num_teams,ann_relational_climate_count,-0.027169636463342466,0.01564195754880806,0.08239217900452805,-0.057827309906710686,0.003488036980025755,0.1009875679890847,571,last
num_funded_teams,ann_coordination_and_decision_practices_count,-0.02360852717567172,0.007151691011332597,0.0009630271167362659,-0.037625583986442446,-0.009591470364900994,0.05518926342013486,571,last
num_funded_teams,ann_evaluation_practices_count,-0.0005722447176394514,0.015746570715378824,0.971010529577968,-0.03143495619979506,0.030290466764516157,0.038791443993930974,571,last
num_funded_teams,ann_idea_management_count,0.0065307928405706275,0.010171054791850221,0.5208109012523093,-0.013404108236239342,0.026465693917380597,0.039509264904889485,571,last
num_funded_teams,ann_information_seeking_count,0.006145795612074792,0.01247877521512859,0.622365988840643,-0.01831215438074831,0.030603745604897894,0.039452789459373805,571,last
num_funded_teams,ann_integration_practices_count,-0.025461036689101914,0.016387258350182867,0.12025375931382776,-0.0575794728608136,0.006657399482609773,0.04212377532351885,571,last
num_funded_teams,ann_knowledge_sharing_count,0.025394465850829634,0.009115636422700584,0.005339353028869488,0.007528146766174953,0.04326078493548431,0.05920472830665113,571,last
num_funded_teams,ann_none_count,0.0068059923605186656,0.0129080963002885,0.598009308835598,-0.018493411497021515,0.03210539621805884,0.03936955110631535,571,last
num_funded_teams,ann_participation_dynamics_count,-0.0391679315166744,0.00902530914492886,1.4262000998661282e-05,-0.056857212390074956,-0.021478650643273846,0.06279268197055798,571,last
num_funded_teams,ann_relational_climate_count,-0.016238153389043868,0.008533997081578693,0.05707179077428295,-0.03296448031310804,0.00048817353502030036,0.04537100420664564,571,last
