term,coef,se,p,or,lo95,hi95,which_delta
Intercept,-6.908512015516692,0.5781396777290085,6.527361571271567e-33,0.000999243549718326,0.00032177249999921256,0.00310308578780388,mid
C(conference)[T.2021ABI],-0.2669941661669892,0.7968428461217257,0.7375760372732798,0.765677538287243,0.16060519274831486,3.6503308679212294,mid
C(conference)[T.2021CMC],-2.0039569382521987,1.348249682045748,0.13718930839384885,0.13480082797807627,0.009594873677481103,1.8938512203888989,mid
C(conference)[T.2021MND],-0.37114756353117173,0.8241432754243766,0.6524627808702252,0.6899421237505914,0.1371790347429123,3.4700647589304547,mid
C(conference)[T.2021MZT],0.11512998384023929,0.7603279957402996,0.8796432530388605,1.1220192724675009,0.2528110549072957,4.979715971084181,mid
C(conference)[T.2021NES],-0.6368553953479179,0.8702750987138238,0.4642990116797545,0.5289531600632887,0.09607803156996102,2.912127163400551,mid
C(conference)[T.2021SLU],-1.5582317717137915,1.056510823011085,0.1402435129712185,0.2105079684485324,0.026542900058503214,1.6695087832398372,mid
C(conference)[T.2022MND],-1.1219285837469608,1.0051857176707406,0.2643619584199257,0.32565114311256294,0.04540683700807387,2.3355220050157266,mid
C(conference)[T.v1-data],2.2217755011869738,0.6110594298633811,0.00027696866151490594,9.22369301397182,2.7845854704453727,30.5526670734173,mid
ann_knowledge_sharing_score_dmid,-0.015088155158868197,0.02644726974686767,0.5683389357111461,0.9850251007312275,0.9352655270475894,1.0374320671622426,mid
ann_evaluation_practices_score_dmid,0.3803919707830122,0.086745028544665,1.1589355055870139e-05,1.4628578746179128,1.2341367216342154,1.7339676583790171,mid
ann_idea_management_score_dmid,0.05774947514407485,0.06729569705498926,0.39081232624202245,1.0594495440161775,0.9285323189600784,1.2088252755414806,mid
ann_coordination_and_decision_practices_score_dmid,-0.11853583123142454,0.040702764838035886,0.003588577724480557,0.8882199890706307,0.820112912269265,0.9619830845019093,mid
ann_information_seeking_score_dmid,-0.037360333448607445,0.051924047409992055,0.47182126166373706,0.963328953158297,0.8701136302562936,1.0665304389263681,mid
ann_relational_climate_score_dmid,-0.15987661627744326,0.05508851175847005,0.0037057899712794337,0.8522489361256381,0.7650224498905446,0.9494208297170904,mid
ann_participation_dynamics_score_dmid,-0.2336650972550383,0.0662035677818942,0.00041635509812249297,0.7916268895244506,0.6952915047163114,0.9013099224818633,mid
ann_integration_practices_score_dmid,0.535091772466023,0.18356687389439738,0.0035572371575741755,1.7076049461804528,1.1916044777743116,2.4470490893642123,mid
speaking_dmid,-6.864997835792858e-05,2.7381214248326248e-05,0.012169437387709977,0.9999313523779979,0.999877690322154,0.9999850173138104,mid
