term,coef,se,p,or,lo95,hi95
Intercept,-4.592214048173181,0.1813081008002586,1.561284953124758e-141,0.010130404322183637,0.00710058626547497,0.014453044846438765
C(conference)[T.2021ABI],-1.0229820001866599,0.32244442059644873,0.001510888599425623,0.3595212476654378,0.19109720292420837,0.6763862869001671
C(conference)[T.2021CMC],-1.0686195445636084,0.3258495579555942,0.0010399582578300396,0.34348235237007596,0.1813575688177195,0.6505387514775386
C(conference)[T.2021MND],-1.7146382826095694,0.3793437177120989,6.183602890038973e-06,0.18002882849513932,0.08559298335677717,0.3786569625016589
C(conference)[T.2021MZT],-0.4870247410917014,0.27999491419774997,0.08196343175586489,0.614451830547484,0.354937069966928,1.0637126522127798
C(conference)[T.2021NES],-0.6645346365701564,0.2877758140886376,0.02093196004602375,0.5145129074943428,0.29270932355098145,0.9043905016991198
C(conference)[T.2021SLU],-0.8153086937977642,0.3014084818581431,0.0068305241965121635,0.4425027084341408,0.24510482121548244,0.798877174265806
C(conference)[T.2022MND],-1.7619144719057624,0.4249574309531748,3.381914973667258e-05,0.17171580385327026,0.07465848956297413,0.3949492879587819
C(conference)[T.v1-data],1.2559097543429407,0.2086838555193941,1.763224508987682e-09,3.5110310976147003,2.332380447943753,5.285303853102258
ann_knowledge_sharing_score_middle,0.06988199548953934,0.024449858358290787,0.004260841483896188,1.0723816279184015,1.0222031747079436,1.1250232677329448
ann_evaluation_practices_score_middle,0.22283376936831562,0.05568379565261892,6.287027187655096e-05,1.249612832539473,1.1204087004835859,1.393716623740376
ann_idea_management_score_middle,0.2516382545364736,0.03997714533072059,3.0828720844697425e-10,1.2861307011766494,1.189202660893222,1.3909590307060904
ann_coordination_and_decision_practices_score_middle,-0.586781830267779,0.14658859378900943,6.256651610028943e-05,0.5561140775832218,0.41723925275726226,0.7412123026357684
ann_information_seeking_score_middle,0.226520500753595,0.033720756537401426,1.8481917474245346e-11,1.2542283221961266,1.1740130274036455,1.3399243854029705
ann_relational_climate_score_middle,0.07783791837443789,0.06798931059999021,0.25226912887419284,1.080947442752158,0.9460866382012475,1.2350321067993801
ann_participation_dynamics_score_middle,-0.7586308383633604,0.13058961547703585,6.274438535756604e-09,0.4683071764852197,0.3625523197713367,0.6049102421572684
ann_integration_practices_score_middle,0.29540168808000855,0.12133981437659272,0.014912410425054154,1.3436659849079609,1.0592654030659543,1.70442485308497
speaking_middle,6.675554772426508e-05,1.088389145991209e-05,8.600619253329041e-10,1.0000667577759255,1.0000454241521084,1.0000880918548454
