term,coef,se,p,or,lo95,hi95,which_delta
Intercept,-5.538825875067891,0.29226455835686754,4.2989722648329005e-80,0.003931139778917426,0.0022168579810916463,0.006971064494522564,mid
C(conference)[T.2021ABI],-0.40458116580658937,0.4354270742678871,0.3528064765649339,0.6672562220624725,0.2842167205313222,1.566518905181783,mid
C(conference)[T.2021CMC],-0.04894853375215609,0.41067968273110506,0.9051255575033785,0.9522301361495965,0.4257594719930569,2.129705366146888,mid
C(conference)[T.2021MND],-1.1696115311182,0.5512916361238629,0.033872684634803675,0.3104875325855772,0.1053841390156712,0.9147724580901525,mid
C(conference)[T.2021MZT],0.1501742991164809,0.39644582074633405,0.7048352217997218,1.1620367670596812,0.5342670296165349,2.5274429697967733,mid
C(conference)[T.2021NES],-0.4572613521363599,0.45047249232572445,0.3100722076297282,0.6330148786509718,0.2617965935883073,1.5306075266343788,mid
C(conference)[T.2021SLU],-0.5456832052370363,0.44516474628812297,0.22027372801442746,0.5794457676922024,0.24214801490387866,1.386579187236722,mid
C(conference)[T.2022MND],-0.9225001774163071,0.5168192684511327,0.07426828986994788,0.39752391728941294,0.14435699093767804,1.0946838375520231,mid
C(conference)[T.v1-data],1.3382167946684322,0.33119063999478254,5.330920618364862e-05,3.8122394349563704,1.9918884135090784,7.296176538239714,mid
ann_knowledge_sharing_score_dmid,-0.10344300453513233,0.027002911295142682,0.00012772245316050297,0.9017274156504991,0.8552437947140675,0.950737482295998,mid
ann_evaluation_practices_score_dmid,0.4499879433785351,0.061240755415754716,2.0141890402131064e-13,1.5682932770577958,1.3909070145109717,1.7683021058955761,mid
ann_idea_management_score_dmid,0.2120507204685453,0.04590660339784983,3.852653549109825e-06,1.2362105846684888,1.12983745563718,1.3525986433017998,mid
ann_coordination_and_decision_practices_score_dmid,0.05625045675792529,0.055908929632959216,0.3143633164000934,1.0578625993972433,0.9480661076762733,1.1803747335155355,mid
ann_information_seeking_score_dmid,0.07837421119599301,0.041054131862668757,0.05625620505335122,1.081527302579618,0.9979102992164228,1.172150750567075,mid
ann_relational_climate_score_dmid,0.1667935729246012,0.06837777944434015,0.01471595109679055,1.181510344408339,1.0333160792811116,1.3509580678499653,mid
ann_participation_dynamics_score_dmid,-0.19267166982086925,0.11222552871313368,0.08601102709131496,0.824752720898101,0.6619046900802659,1.0276661592265413,mid
ann_integration_practices_score_dmid,0.06245701373524291,0.14711556377661852,0.6711692036815208,1.0644487012606985,0.7978062613535548,1.4202082541859946,mid
speaking_dmid,1.7247492423707393e-05,3.461551826398366e-05,0.6183015242357595,1.0000172476411626,0.9999494023567302,1.0000850975288105,mid
